global-spk-a-cztery-lata-0001 a_cztery_lata_temu_samodzielnie
global-spk-a-jedynie-nad-0001 a_jedynie_nadać_jej_cywilizowany_charakter
global-spk-a-lokalne-kom-0001 a_lokalne_komitety_wyborców_z_reguły_nie_mają
global-spk-a-prawica-w-m-0001 a_prawica_w_małopolsce
global-spk-a-trzecia-sił-0001 a_trzecia_siła_w_kraju_to_samoobrona
global-spk-a-w-lubelskie-0001 a_w_lubelskiem_świętokrzyskiem_i_łódzkiem
global-spk-a-wu-es-0001 a_wu_es
global-spk-a-wu-es-0002 a_wu_es
global-spk-a-wu-es-już-n-0001 a_wu_es_już_nie_ma
global-spk-akcja-w-siedm-0001 akcja_w_siedmiu
global-spk-albo-też-okaz-0001 albo_też_okazałoby_się
global-spk-albo-zagrażał-0001 albo_zagrażał
global-spk-ale-ludowcy-s-0001 ale_ludowcy_sprzeciwiają_się_kluczowej_propozycji_wyłączenia_z_lustracji_współpracowników
global-spk-ale-też-swoją-0001 ale_też_swoją_działalnością
global-spk-ale-wciąż-pie-0001 ale_wciąż_pierwszy
global-spk-antyeuropejsk-0001 antyeuropejski_front_jest_silny_w_każdym_regionie
global-spk-bardzo-zbliżo-0001 bardzo_zbliżony_wynik_es_el_de
global-spk-bastionem-rad-0001 bastionem_radykałów_jest_lubelskie_i_podkarpacie
global-spk-bez-jednoznac-0001 bez_jednoznacznego_orzeczenia_prawdziwości
global-spk-bo-o-dwa-i-pó-0001 bo_o_dwa_i_pół_procent
global-spk-bogdan-0001 bogdan
global-spk-by-mogła-zapo-0001 by_mogła_zapoznać_się_z_aktami_sprawy
global-spk-by-zmienili-z-0001 by_zmienili_zdanie
global-spk-być-może-więc-0001 być_może_więc
global-spk-było-donosici-0001 było_donosicielstwo_lub_niszczenie_demokratycznej_opozycji_antykomunistycznej_za_granicą_i_w_kraju
global-spk-były-0001 były
global-spk-cała-ubecja-p-0001 cała_ubecja_pójdzie_w_kadry
global-spk-chcą-chronić--0001 chcą_chronić_swoich_ludzi
